Category,Date,Title,Source,Link,Sentiment
news,2024-10-25 14:00:00,"Tesla, Nvidia-Led Market Rally Now Pressures Investment Funds To Offload Shares To Avoid US Tax Lawsuits",Benzinga,https://finance.yahoo.com/news/tesla-nvidia-led-market-rally-180016640.html,4.479
news,2024-10-25 12:43:00,"Where the Stock Market Is Headed Next, According to Our Exclusive Investor Survey",Barrons.com,https://finance.yahoo.com/m/ed10a665-85fb-3f03-bc97-068c50d5033e/where-the-stock-market-is.html,-0.296
news,2024-10-25 11:55:00,Nvidia overtakes Apple as world's most valuable company,Reuters,https://uk.finance.yahoo.com/news/nvidia-overtakes-apple-worlds-most-155501037.html,5
news,2024-10-25 11:03:00,"What's Going On With Nvidia, AMD And Other Chip Stocks On Friday?",Benzinga,https://finance.yahoo.com/news/whats-going-nvidia-amd-other-150314423.html,0.978
news,2024-10-25 10:30:00,Nvidia Stock Nears Record High Ahead of Big Tech Earnings,Barrons.com,https://finance.yahoo.com/m/0d0b681e-6377-3732-b257-8beff2c93c92/nvidia-stock-nears-record.html,0.0
news,2024-10-25 10:27:00,"Tesla's Stock Taps the Brakes, But It's Still Rising And So Is the Magnificent Seven",Investopedia,https://www.investopedia.com/tesla-stock-taps-the-brakes-but-its-still-rising-magnificent-seven-8734228,3.036
news,2024-10-25 09:58:00,Baron Opportunity Fund Trimmed NVIDIA Corporation (NVDA) as it Grew Overweight versus the Benchmark,Insider Monkey,https://finance.yahoo.com/news/baron-opportunity-fund-trimmed-nvidia-140009039.html,4.492
news,2024-10-25 05:03:00,Reflecting On Processors and Graphics Chips Stocks Q2 Earnings: Broadcom (NASDAQ:AVGO),StockStory,https://finance.yahoo.com/news/reflecting-processors-graphics-chips-stocks-090326298.html,1.697
news,2024-10-25 04:29:00,Nvidias billionaire CEO says AI can do a lot of thingsexcept take his job,Fortune,https://finance.yahoo.com/news/nvidia-billionaire-ceo-says-ai-082900997.html,0.178
news,2024-10-24 17:45:00,Nvidia (NVDA) Exceeds Market Returns: Some Facts to Consider,Zacks,https://finance.yahoo.com/news/nvidia-nvda-exceeds-market-returns-214520745.html,4.495
